timestamp,raw,scale,sized,realised,regime,asset_ret,fwd,w,fwd_vol20,agent_ret,const_ret,active,yr
2021-09-25 00:00:00+00:00,0.0,1.0696156781725252,0.0,0.0,bear,-0.0033468754871767,0.0110643802169789,0.0,0.03710805479703411,0.0,0.004425752086791561,-0.004425752086791561,2021
2021-09-26 00:00:00+00:00,0.0,1.0973443777958518,0.0,0.0,bear,0.0110643802169789,-0.0233049130089799,0.0,0.03778110566605865,-0.0,-0.00932196520359196,0.00932196520359196,2021
2021-09-27 00:00:00+00:00,0.0,1.0928981837914953,0.0,0.0,bear,-0.0233049130089799,-0.0271672322900443,0.0,0.036571433436101176,-0.0,-0.010866892916017721,0.010866892916017721,2021
2021-09-28 00:00:00+00:00,0.0,1.0869274309032395,0.0,0.0,bear,-0.0271672322900443,0.0120920673123212,0.0,0.035005136396682755,0.0,0.00483682692492848,-0.00483682692492848,2021
2021-09-29 00:00:00+00:00,0.0,1.0966819836574522,0.0,0.0,bear,0.0120920673123212,0.0554467782986241,0.0,0.03508552383092046,0.0,0.02217871131944964,-0.02217871131944964,2021
2021-09-30 00:00:00+00:00,0.0,1.0581639980002149,0.0,0.0,bear,0.0554467782986241,0.0990618702855918,0.0,0.03425209501593594,0.0,0.03962474811423672,-0.03962474811423672,2021
2021-10-01 00:00:00+00:00,0.0,0.9799937705968048,0.0,0.0,bear,0.0990618702855918,-0.0105483646474175,0.0,0.03345541348249415,-0.0,-0.004219345858967,0.004219345858967,2021
2021-10-02 00:00:00+00:00,0.0,0.9799820490207491,0.0,0.0,bear,-0.0105483646474175,0.0120924870676693,0.0,0.0341127807121139,0.0,0.004836994827067721,-0.004836994827067721,2021
2021-10-03 00:00:00+00:00,0.0,0.9807704678897688,0.0,0.0,bear,0.0120924870676693,0.0209717255404333,0.0,0.03411760595731828,0.0,0.00838869021617332,-0.00838869021617332,2021
2021-10-04 00:00:00+00:00,0.0,0.9766200904523864,0.0,0.0,bear,0.0209717255404333,0.0456579418156446,0.0,0.034336722909029914,0.0,0.01826317672625784,-0.01826317672625784,2021
2021-10-05 00:00:00+00:00,0.2707418981340143,0.9706443173360182,0.262794084888548,0.0,bear,0.0456579418156446,0.0746784236373994,0.0,0.033916521275950955,0.0,0.029871369454959763,-0.029871369454959763,2021
2021-10-06 00:00:00+00:00,0.5502297927343442,0.9313906868101256,0.5124789045582339,0.2770679638347175,sideways,0.0746784236373994,-0.0278582306881092,0.2770679638347175,0.03245615988915964,-0.007718623252792257,-0.011143292275243681,0.003424669022451424,2021
2021-10-07 00:00:00+00:00,0.5780363489297546,1.054899035359795,0.6097699868888959,0.5055460395947187,sideways,-0.0278582306881092,0.0030856268897141,0.5055460395947187,0.032641005823267025,0.0015599264537619329,0.00123425075588564,0.00032567569787629293,2021
2021-10-08 00:00:00+00:00,0.5898394790173352,1.0607484226726869,0.6256712969977176,0.6105205236679953,sideways,0.0030856268897141,0.0185025819150683,0.6105205236679953,0.03340436005484326,0.011296205999997477,0.00740103276602732,0.0038951732339701567,2021
